No	업종코드	업종명
1	1	토목공사업
2	2	건축공사업
3	3	토목건축공사업
4	5	조경공사업
5	36	정보통신공사업
6	37	전기공사업
7	38	일반소방시설공사업(기계)
8	39	일반소방시설공사업(전기)
9	40	전문소방시설공사업
10	41	지하수개발·이용시공업
11	42	종합국가유산수리업(보수단청업)
12	43	전문국가유산수리업(조경업)
13	44	환경전문공사업(대기분야)
14	45	환경전문공사업(소음진동분야)
15	46	환경전문공사업(수질분야)
16	1105	설계업(종합설계)
17	1106	설계업(전문설계1종)
18	1107	설계업(전문설계2종)
19	1108	감리업(종합감리)
20	1109	감리업(전문감리)
21	1121	국가유산실측설계업
22	1127	전문국가유산수리업(보존과학업)
23	1128	전문국가유산수리업(식물보호업)
24	1129	국가유산감리업
25	1132	교통영향평가대행자
26	1136	분뇨수집·운반업(구: 분뇨등수집·운반업 또는 정화조청소업)
27	1139	개인하수처리시설관리업(구:오수처리시설관리업)
28	1143	폐기물종합처분업
29	1146	우수물류기업
30	1147	국제물류주선업
31	1153	해운중개업
32	1154	해운대리점업
33	1155	항만운송사업(항만하역사업)
34	1156	항만운송사업(검수사업)
35	1157	항만운송사업(감정사업)
36	1158	항만운송사업(검량사업)
37	1159	항만운송관련사업(항만용역업)
38	1160	항만운송관련사업(선박연료공급업)
39	1161	항만운송관련사업(컨테이너수리업)
40	1162	건물위생관리업
41	1164	시설경비업무
42	1165	호송경비업무
43	1166	신변보호업무
44	1167	기계경비업무
45	1168	특수경비업무
46	1169	학술.연구용역
47	1172	근로자파견사업
48	1173	저수조청소업
49	1174	측정대행업(수질분야)
50	1175	측정대행업(대기분야)
51	1176	측정대행업(소음·진동분야)
52	1177	지하수영향조사기관
53	1185	의료기관세탁물처리업
54	1189	폐기물해양배출업
55	1190	전기안전관리대행사업자
56	1192	소독업
57	1193	수질환경관리대행기관
58	1196	시설대여업
59	1200	회계법인
60	1224	폐기물수집·운반업(생활폐기물)
61	1226	폐기물수집·운반업(사업장배출시설폐기물)
62	1227	폐기물수집·운반업(사업장비배출시설계폐기물)
63	1229	폐기물수집·운반업(지정폐기물)
64	1241	농약제조업
65	1242	농약원제업
66	1243	농약수입업
67	1244	농약판매업
68	1245	수출입식물방제업
69	1249	장의.장묘용역
70	1250	폐기물중간처분업(지정폐기물외 폐기물-기계적처리전문)
71	1251	폐기물중간처분업(지정폐기물외 폐기물-화학처리또는생물학적처리전문)
72	1253	건설폐기물 중간처리업
73	1254	폐기물중간처분업(지정폐기물)
74	1255	폐기물중간처분업(의료폐기물)
75	1257	폐기물중간처분업(지정폐기물외 폐기물-소각전문)
76	1259	항공기사용사업
77	1260	건물(시설)관리용역
78	1261	종합여행업
79	1262	국내외여행업
80	1263	국내여행업
81	1264	호텔업(관광호텔)
82	1265	호텔업(수상관광호텔)
83	1266	호텔업(한국전통호텔)
84	1267	호텔업(가족호텔)
85	1268	휴양콘도미니엄업
86	1269	관광객이용시설업(전문휴양업)
87	1271	관광객이용시설업(자동차야영장업)
88	1273	관광객이용시설업(관광공연장업)
89	1276	선박관리업
90	1277	해상화물운송사업(내항화물운송사업)
91	1282	선박대여업
92	1286	골재채취업(수중골재)
93	1287	골재채취업(바다골재)
94	1288	골재채취업(산림골재)
95	1289	골재채취업(육상골재)
96	1290	골재채취업(골재선별, 파쇄)
97	1291	골재채취업(바다골재선별, 세척)
98	1299	기술사사무소(용접)
99	1300	기술사사무소(금형)
100	1312	기술사사무소(발송배전)
101	1315	기술사사무소(철도신호)
102	1320	기술사사무소(정보통신)
103	1339	기술사사무소(토목시공)
104	1340	기술사사무소(농어업토목)
105	1344	기술사사무소(철도)
106	1345	기술사사무소(교통)
107	1346	기술사사무소(수자원개발)
108	1347	기술사사무소(상하수도)
109	1349	기술사사무소(건축시공)
110	1351	기술사사무소(도시계획)
111	1352	기술사사무소(조경)
112	1358	기술사사무소(건축전기설비)
113	1359	기술사사무소(대기관리)
114	1360	기술사사무소(수질관리)
115	1361	기술사사무소(소음진동)
116	1362	기술사사무소(폐기물처리)
117	1381	기술사사무소(가스)
118	1388	폐기물최종처분업(지정폐기물외 폐기물)
119	1389	폐기물최종처분업(지정폐기물)
120	1390	온천전문검사기관
121	1395	안전진단전문기관(교량 및 터널분야)
122	1396	안전진단전문기관(항만분야)
123	1397	안전진단전문기관(건축분야)
124	1398	안전진단전문기관(수리분야)
