기관명,url,iframe,rowXpath,paging,startPage,endPage,login,제목,상세페이지주소,작성일,작성자,제외항목,use,지역,등록,담당업체,담당자,oid
LH입찰,,,,,,,,,,,,,0,전국,1,일맥,전영서,1
가평군청,https://www.gp.go.kr/portal/selectGosiList.do?key=2148&not_ancmt_se_code=01,,"//*[@id=""board""]/table/tbody/tr","//div[contains(@class, ""pagination"")]/span/a[contains(text(),""${i}"")]",1,3,,td[4]/a,"td[4]/a|-href|-""https://www.gp.go.kr/portal/"" + rst.split(""/"")[1]",td[3],td[5],,1,인천,1,일맥,전영서,2
강남구,https://www.gangnam.go.kr/notice/list.do?mid=ID05_0402&pgno=${i},,"//*[@id=""contents-wrap""]/div[1]/div/div[2]/div/div[1]/div/table/tbody/tr",,1,3,,td[3]/a,"td[3]/a|-href|-""https://www.gangnam.go.kr"" + rst.split(""&"")[0]",td[5],td[4],,1,서울,1,일맥,전영서,3
강동구,https://www.gangdong.go.kr/web/newportal/notice/01,,"//*[@id=""content-area""]/article/div[2]/table/tbody/tr","//div[@class=""paging clear""]/a[contains(text(),""${i}"")]",1,3,,td[3]/a,"td[3]/a|-href|-""https://www.gangdong.go.kr"" + rst",td[5],td[4],,1,서울,1,일맥,전영서,4
강북구,https://www.gangbuk.go.kr/portal/bbs/B0000245/list.do?menuNo=200082,,"//*[@id=""contents""]/div[2]/table/tbody/tr","//*[@id=""contents""]/div[3]/ul/div/ul/li/a/span[contains(text(),""${i}"")]",1,3,,td[3]/a,"td[3]/a|-href|-""https://www.gangbuk.go.kr"" + rst",td[5],td[4],,1,서울,1,일맥,전영서,5
강서구,https://www.gangseo.seoul.kr/gs040301?curPage=${i},,//table/tbody/tr,,1,3,,td[2]/a,"td[1]/input|-value|-""https://www.gangseo.seoul.kr/gs040301/view?mgtNo="" + rst",td[5],td[3],,1,서울,1,일맥,전영서,6
강화군청,https://www.ganghwa.go.kr/open_content/main/eminwon/announce/eminwonList.do?keyfield=title&pgno=${i},,"//div[@id=""detail_con""]/div[2]/table/tbody/tr",,1,3,,td[3]/a,"td[3]/a|-href|-""https://www.ganghwa.go.kr"" + rst.split(""&pgno"")[0]",td[5],td[4],,1,인천,1,링크,전영서,7
계룡시청,https://www.gyeryong.go.kr/kr/html/sub03/030102.html?skey=sj&sval=&GotoPage=${i},,"//div[@id=""txt""]/div[1]/table/tbody/tr",,1,3,,td[3]/a,"td[3]/a|-href|-""https://www.gyeryong.go.kr/kr/html/sub03/030102.html"" + rst",td[5],td[4],,0,충남,1,일맥,전영서,8
고양시청,"https://eminwon.goyang.go.kr/emwp/gov/mogaha/ntis/web/ofr/action/OfrAction.do?jndinm=OfrNotAncmtEJB&context=NTIS&method=selectListOfrNotAncmt&methodnm=selectListOfrNotAncmtHomepage&homepage_pbs_yn=Y&subCheck=Y&not_ancmt_se_code=01,04,05&initValue=Y&countYn=Y&epcCheck=Y&ofr_pageSize=10&pageIndex=${i}",,/html/body/form/div[3]/div/table/tbody/tr,,1,3,,td[3],"td[3]/a|-href|-""https://eminwon.goyang.go.kr/emwp/gov/mogaha/ntis/web/ofr/action/OfrAction.do?epcCheck=&jndinm=OfrNotAncmtEJB&context=NTIS&method=selectOfrNotAncmt&methodnm=selectOfrNotAncmtRegst&homepage_pbs_yn=Y&subCheck=Y&not_ancmt_mgt_no="" + rst.split(""'"")[1]",td[5],td[4],,0,경기,0,일맥,전영서,9
공주시청,https://www.gongju.go.kr/prog/saeolGosi/GOSI_01/sub04_03_01/list.do?pageIndex=${i},,"//div[@id=""txt""]/div/div[1]/table/tbody/tr","//*[@id=""txt""]/div/div[@class=""text-center""]/ul/li/a[contains(@onclick, ""(${i})"")]",1,3,,td[3]/a,"td[3]/a|-onclick|-""https://www.gongju.go.kr/prog/saeolGosi/GOSI_01/sub04_03_01/view.do?notAncmtMgtNo="" + rst.split(""'"")[1]",td[5],td[4],,0,충남,1,일맥,전영서,10
